ticker,close,date,return_1d,return_1w,return_1m,return_3m,return_6m,return_1y,volume
AAPL,283.78,2026-06-26,3.136471015809557,-4.775007550082218,-8.708380247707913,14.16456465154824,3.9894757285822653,41.74421607376811,261693600
ABAT,2.72,2026-06-26,0.7407407407407414,-12.820512820512816,-24.02234636871508,2.2556390977443628,-28.795811518324598,101.48148148148148,6907300
ACHR,4.87,2026-06-26,1.670146137787058,-12.5673249551167,-25.648854961832058,-4.322200392927304,-38.27629911280101,-54.01322001888575,53518300
ADBE,202.73,2026-06-26,4.818778760146835,3.8788686206189755,-14.90513767629282,-13.673139158576058,-42.69926512153759,-47.33601766463177,9148100
ADSK,196.26,2026-06-26,3.4417329889843464,1.2589000103188515,-17.189873417721525,-14.61016359206405,-34.734461773802,-35.6376873380776,7755600
ADYEY,9.48,2026-06-26,2.0452099031216497,-8.405797101449268,-13.818181818181815,-3.1664964249233782,-41.044776119402975,-47.14835256731895,6339300
AEIS,348.11,2026-06-26,-7.207783553245359,-6.570224643710235,6.021197539136273,12.053536940231256,59.88370757875688,160.55455134034665,5665700
AEP,138.69,2026-06-26,1.2335766423357648,8.614613517111755,7.038666357953234,7.376782645050395,21.727193814724338,39.796771036294345,8130400
AGCO,117.35,2026-06-26,-1.2704021537943844,3.246524722857644,2.686384319215955,3.629734095021441,11.803644789292752,15.5588380108321,1070500
AI,8.9,2026-06-26,1.7142857142857182,-13.59223300970874,-7.194994786235657,14.690721649484544,-36.3831308077198,-63.996763754045304,10554800
AIQ,63.15,2026-06-26,-1.6048613275163728,-5.464071856287423,-2.995391705069118,38.88277985484935,22.56233891252368,45.52971433312131,3715800
AIRR,129.69,2026-06-26,-2.4300331026181086,-0.9243697478991657,0.20088078498029122,18.14703470893687,28.126599236120843,61.228363959139074,674700
AKAM,113.29,2026-06-26,0.35432722118877286,-9.302697942518606,-21.56061760022156,-1.0567685589519598,28.127120560959064,42.32412060301509,4427000
ALB,133.7,2026-06-26,-5.2109181141439365,-16.619893981914565,-24.471000423120582,-25.304383241588646,-10.423741929259547,112.56502550144356,4691800
ALT,2.82,2026-06-26,-1.7421602787456538,4.444444444444431,-5.369127516778528,-6.622516556291397,-26.94300518134715,-21.883656509695292,17102700
AMAT,626.84,2026-06-26,-6.1616766467065816,1.5767043152760476,39.841606246514225,86.14324988700865,139.93967441023696,244.07067599425852,28127500
AMD,521.58,2026-06-26,-2.063578496723437,-2.938385097791087,5.254873471364576,158.2207039952473,142.60663286664496,263.0150334075724,52661800
AMGN,358.33,2026-06-26,1.5617028513122813,6.140402843601884,6.6267928346128615,3.516911450328747,9.193386536909168,32.24202508586892,3610300
AMKR,78.72,2026-06-26,-8.058864751226356,-12.97811187265089,9.16821640601922,77.29729729729729,94.52983680449158,274.876779259866,6189300
AMSC,39.73,2026-06-26,-1.3654419066534367,-8.456221198156687,-24.582384206529998,17.823250296559902,29.92151733158927,8.315158124318422,2159100
AMT,175.59,2026-06-26,4.071834992887627,-0.2612894064186356,-4.17009358137737,5.614233471273219,2.4768596874161055,-16.158063465657705,7260600
AMZN,232.69,2026-06-26,2.502092418836178,-4.787429927574774,-14.405002758874389,16.730209691983543,0.0731119903664147,7.171149594694175,248291300
APD,277.79,2026-06-26,-0.7644768334940829,-0.8636379857963524,-2.7788471634060117,-4.332205804055098,13.80330574043228,0.7924355783255902,1741500
APP,477.08,2026-06-26,6.985401296167555,1.5690532456196387,-15.981895989997014,25.152151101783844,-33.20358988001064,37.3089653187509,3422500
ARKG,41.43,2026-06-26,3.2909498878085275,12.398263700488336,29.226450405489697,65.65373850459815,39.63599595551061,68.68892508143323,6796800
ARKQ,123.6,2026-06-26,-0.19379844961241044,-7.186303221446268,-11.62591162591164,12.13935764833968,5.550811272416738,41.151964479039606,95697
ARKX,31.93,2026-06-26,0.03132832080199878,-7.60995370370371,-12.268168704492384,10.369858278603527,8.163956639566395,35.296610169491515,932500
ARM,334.27,2026-06-26,-3.8652900405510335,-23.936194420425068,10.425820091837073,131.92256990217163,203.1377527886098,111.36263041416375,7699400
ARTY,72.28,2026-06-26,-3.317281968967367,-8.390367553865657,1.7336093896687235,57.7370365601629,48.780914545660394,77.65281017349905,814800
ARVR,55.2068,2026-06-26,-0.36779966288038946,-3.5847389249625357,-2.055863860226804,28.84786388619841,12.407941701671042,18.87308416125129,2387
