ticker,mcap
AAPL,4167.9778677510985
ABAT,0.37104719638284756
ACHR,3.715151873427043
ADBE,80.58517330169678
ADSK,41.4393658014045
ADYEY,29.896782572364806
AEIS,13.928109222176392
AEP,75.46192821646143
AGCO,8.497140532963355
AI,1.3834985060008067
AIQ,1.0
AIRR,1.0
AKAM,16.470717876894355
ALB,15.767862478792008
ALT,0.5484171012974496
AMAT,497.68555042335265
AMD,850.4887091563301
AMGN,193.39365857536066
AMKR,19.51252491953876
AMSC,1.9254074349257164
AMT,81.80616227955862
AMZN,2503.0718209253146
APD,61.858469666729064
APP,160.27002216777333
ARKG,1.0
ARKQ,1.0
ARKX,1.0
ARM,355.6812590556256
ARTY,1.0
ARVR,1.0
ASML,691.6782480803778
ASTS,21.345428153648392
AVAV,6.980969390015579
AVGO,1736.6118716056228
BATT,1.0
BBP,1.0
BE,71.68554482863532
BEAM,3.5812255806231
BEP,10.696543424378719
BETZ,1.0
BIOA,1.0561969700144234
BITQ,1.0
BJK,1.0
BKCH,1.0
BKSY,0.918819492253582
BLDP,1.0913425388788272
BLK,149.75578493909308
BLOK,1.0
BMI,4.111663244107666
BOTT,1.0
BOTZ,1.0
BSX,65.7414888867706
BSY,9.11390022
BUG,1.0
BWXT,18.131455519092864
BYDDY,85.42814014066954
CAMT,7.172040465073761
CARR,61.12241028689365
CAT,459.42667178910426
CB,132.43095553956408
CCJ,45.50883994082118
CDLR,2.036503269971237
CDNS,104.05709928979492
CEG,94.28207060510007
CEVA,1.1790084875779954
CGC,0.39935851937743616
CHAT,1.0
CHKP,13.528816617817673
CHRS,0.23137485
CHWY,7.594818727484119
CIBR,1.0
CLH,15.941005230253419
CLIX,1.0
CLSK,4.190418516402317
CNH,13.676654092007485
COHR,74.45249952212494
COIN,39.27146113674524
COPX,1.0
CORZ,8.646480184927231
COST,422.4312902177527
CRM,129.70502600097657
CRON,1.0499903082088866
CRSP,5.408748129430176
CRWD,178.47285649025756
CSCO,448.4170086059156
CTVA,55.257910236968996
CWST,6.001597836288933
CXM,1.2086203761795273
DAR,8.3436865575
DE,165.53642387089232
DELL,258.12743225173534
DFEN,1.0
DFLI,0.024733605527808667
DKNG,12.750510975416248
DLR,67.82137151
DNA,0.66957603275
DOCS,3.8183681878876703
DRIV,1.0
DTCR,1.0
DXCM,27.065130371261827
EBAY,47.89428121948242
EBIZ,1.0
EFRA,1.0
EH,0.4649320777398129
EL,29.13896278533314
ELAN,12.271476101890084
EMR,80.3687520767212
ENPH,6.270959548929748
ENVX,1.2980129263905333
EQIX,107.62864665803711
EQNR,77.25427448140657
ERTH,1.0
ETN,156.36064115600587
ETSY,7.405701954120095
EVEX,0.8463801623718396
EVTL,0.21263776121567488
EVX,1.0
EXPE,31.541800370486754
FAN,1.0
